sleep time resolution: 11.04 ms.
### TRAIN ###
1332208198.623497 1332208199.287926 745 1
1332208198.623944 1332208199.288102 746 1
1332208198.624391 1332208199.288302 747 1
1332208198.624837 1332208199.288470 748 1
1332208198.625283 1332208199.288635 749 1
1332208198.625729 1332208199.288836 750 1
1332208198.626176 1332208199.289338 751 1
1332208198.626623 1332208199.289839 752 1
1332208198.627070 1332208199.290690 753 1
1332208198.627516 1332208199.290851 754 1
1332208198.627963 1332208199.291017 755 1
1332208198.628409 1332208199.291518 756 1
1332208198.628855 1332208199.292071 757 1
1332208198.629301 1332208199.292186 758 1
1332208198.629747 1332208199.292707 759 1
1332208198.630194 1332208199.293218 760 1
1332208198.630640 1332208199.293305 761 1
1332208198.631087 1332208199.293877 762 1
1332208198.631533 1332208199.294367 763 1
1332208198.631979 1332208199.294800 764 1
1332208198.632425 1332208199.295317 765 1
1332208198.632871 1332208199.295895 766 1
1332208198.633318 1332208199.296261 767 1
1332208198.633764 1332208199.296844 768 1
1332208198.634211 1332208199.296878 769 1
1332208198.634657 1332208199.297355 770 1
1332208198.635103 1332208199.298093 771 1
1332208198.635549 1332208199.298137 772 1
1332208198.635996 1332208199.298643 773 1
1332208198.636443 1332208199.299167 774 1
1332208198.636889 1332208199.299601 775 1
1332208198.637336 1332208199.300177 776 1
1332208198.637782 1332208199.300825 777 1
1332208198.638228 1332208199.300890 778 1
1332208198.638674 1332208199.301450 779 1
1332208198.639120 1332208199.301890 780 1
1332208198.639567 1332208199.302470 781 1
1332208198.640013 1332208199.302608 782 1
1332208198.640459 1332208199.303204 783 1
1332208198.640906 1332208199.303647 784 1
1332208198.641353 1332208199.304516 785 1
1332208198.641799 1332208199.304697 786 1
1332208198.642246 1332208199.305195 787 1
1332208198.642692 1332208199.305300 788 1
1332208198.643138 1332208199.305815 789 1
1332208198.643585 1332208199.306280 790 1
1332208198.644031 1332208199.306551 791 1
1332208198.644477 1332208199.307108 792 1
1332208198.644923 1332208199.308342 793 1
1332208198.645369 1332208199.308362 794 1
1332208198.645816 1332208199.309026 795 1
1332208198.646263 1332208199.309356 796 1
1332208198.646709 1332208199.309941 797 1
1332208198.647155 1332208199.310394 798 1
1332208198.647602 1332208199.310553 799 1
1332208198.648048 1332208199.311036 800 1
1332208198.648495 1332208199.311573 801 1
1332208198.648941 1332208199.311780 802 1
1332208198.649387 1332208199.312223 803 1
1332208198.649833 1332208199.312594 804 1
1332208198.650280 1332208199.313152 805 1
1332208198.650727 1332208199.313670 806 1
1332208198.651173 1332208199.314322 807 1
1332208198.651619 1332208199.314356 808 1
1332208198.652066 1332208199.314936 809 1
1332208198.652512 1332208199.315344 810 1
1332208198.652959 1332208199.315889 811 1
1332208198.653405 1332208199.316057 812 1
1332208198.653851 1332208199.316623 813 1
1332208198.654297 1332208199.317214 814 1
1332208198.654743 1332208199.317367 815 1
1332208198.655189 1332208199.317727 816 1
1332208198.655635 1332208199.318265 817 1
1332208198.656082 1332208199.318848 818 1
1332208198.656528 1332208199.319318 819 1
1332208198.656974 1332208199.319848 820 1
1332208198.657420 1332208199.320356 821 1
1332208198.657867 1332208199.320522 822 1
1332208198.658313 1332208199.320971 823 1
1332208198.658760 1332208199.321511 824 1
1332208198.659206 1332208199.321979 825 1
1332208198.659652 1332208199.325986 826 1
1332208198.660099 1332208199.325993 827 1
1332208198.660546 1332208199.328770 828 1
1332208198.660993 1332208199.329085 829 1
1332208198.661439 1332208199.329159 830 1
1332208198.661885 1332208199.329395 831 1
1332208198.662331 1332208199.329506 832 1
1332208198.662777 1332208199.329708 833 1
1332208198.663223 1332208199.329949 834 1
1332208198.663669 1332208199.330106 835 1
1332208198.664116 1332208199.330297 836 1
1332208198.664565 1332208199.330827 837 1
1332208198.665009 1332208199.331008 838 1
1332208198.665456 1332208199.331189 839 1
1332208198.665903 1332208199.331376 840 1
1332208198.666350 1332208199.331554 841 1
1332208198.666796 1332208199.331737 842 1
1332208198.667243 1332208199.331918 843 1
1332208198.667690 1332208199.332103 844 1
1332208198.668137 1332208199.335809 845 1
1332208198.668594 1332208199.335826 846 1
1332208198.669041 1332208199.336151 847 1
1332208198.669487 1332208199.336177 848 1
1332208198.669934 1332208199.336435 849 1
1332208198.670380 1332208199.336598 850 1
1332208198.670826 1332208199.336654 851 1
1332208198.671272 1332208199.336893 852 1
1332208198.671718 1332208199.337438 853 1
1332208198.672164 1332208199.337604 854 1
1332208198.672611 1332208199.337805 855 1
1332208198.673057 1332208199.337978 856 1
1332208198.673504 1332208199.338166 857 1
1332208198.673950 1332208199.338294 858 1
1332208198.674397 1332208199.338522 859 1
1332208198.674844 1332208199.338746 860 1
1332208198.675291 1332208199.339249 861 1
1332208198.675737 1332208199.339388 862 1
1332208198.676183 1332208199.339615 863 1
1332208198.676630 1332208199.339760 864 1
1332208198.677077 1332208199.339958 865 1
1332208198.677524 1332208199.340910 866 1
1332208198.677970 1332208199.340919 867 1
1332208198.678417 1332208199.341202 868 1
1332208198.678864 1332208199.341592 869 1
1332208198.679310 1332208199.341768 870 1
1332208198.679756 1332208199.341947 871 1
1332208198.680203 1332208199.342599 872 1
1332208198.680650 1332208199.342810 873 1
1332208198.681096 1332208199.343232 874 1
1332208198.681542 1332208199.343796 875 1
1332208198.681988 1332208199.344350 876 1
1332208198.682434 1332208199.344539 877 1
1332208198.682880 1332208199.345078 878 1
1332208198.683326 1332208199.345586 879 1
1332208198.683772 1332208199.345744 880 1
1332208198.684218 1332208199.346292 881 1
1332208198.684664 1332208199.346776 882 1
1332208198.685110 1332208199.347242 883 1
1332208198.685556 1332208199.347418 884 1
1332208198.686002 1332208199.348356 885 1
1332208198.686448 1332208199.349057 886 1
1332208198.686894 1332208199.349068 887 1
1332208198.687340 1332208199.349631 888 1
1332208198.687786 1332208199.349720 889 1
1332208198.688232 1332208199.350270 890 1
1332208198.688678 1332208199.350795 891 1
1332208198.689125 1332208199.351375 892 1
1332208198.689573 1332208199.351508 893 1
1332208198.690020 1332208199.352024 894 1
1332208198.690466 1332208199.352423 895 1
1332208198.690913 1332208199.352803 896 1
1332208198.691359 1332208199.353477 897 1
1332208198.691806 1332208199.353641 898 1
1332208198.692253 1332208199.354822 899 1
1332208198.692699 1332208199.355218 900 1
1332208198.693146 1332208199.355242 901 1
1332208198.693592 1332208199.355957 902 1
1332208198.694039 1332208199.356016 903 1
1332208198.694485 1332208199.356617 904 1
1332208198.694931 1332208199.356644 905 1
1332208198.695378 1332208199.357239 906 1
1332208198.695824 1332208199.357759 907 1
1332208198.696270 1332208199.358277 908 1
1332208198.696717 1332208199.358716 909 1
1332208198.697163 1332208199.358879 910 1
1332208198.697609 1332208199.359395 911 1
1332208198.698056 1332208199.359991 912 1
1332208198.698503 1332208199.360776 913 1
1332208198.698949 1332208199.360842 914 1
1332208198.699396 1332208199.361808 915 1
1332208198.699842 1332208199.361819 916 1
1332208198.700288 1332208199.362068 917 1
1332208198.700735 1332208199.363232 918 1
1332208198.701182 1332208199.363477 919 1
1332208198.701628 1332208199.363583 920 1
1332208198.702074 1332208199.364080 921 1
1332208198.702520 1332208199.364151 922 1
1332208198.702966 1332208199.364773 923 1
1332208198.703413 1332208199.365071 924 1
1332208198.703859 1332208199.365526 925 1
1332208198.704306 1332208199.366038 926 1
1332208198.704753 1332208199.366581 927 1
1332208198.705200 1332208199.366784 928 1
1332208198.705646 1332208199.367269 929 1
1332208198.706092 1332208199.367839 930 1
1332208198.706539 1332208199.368146 931 1
1332208198.706986 1332208199.368491 932 1
1332208198.707433 1332208199.368970 933 1
1332208198.707879 1332208199.369397 934 1
1332208198.708326 1332208199.369937 935 1
1332208198.708773 1332208199.370155 936 1
1332208198.709219 1332208199.370625 937 1
1332208198.709665 1332208199.372957 938 1
1332208198.710112 1332208199.373306 939 1
1332208198.710559 1332208199.373395 940 1
1332208198.711005 1332208199.373405 941 1
1332208198.711451 1332208199.373615 942 1
1332208198.711897 1332208199.374053 943 1
1332208198.712343 1332208199.374170 944 1
1332208198.712789 1332208199.374696 945 1
1332208198.713235 1332208199.374810 946 1
1332208198.713681 1332208199.375331 947 1
1332208198.714128 1332208199.375811 948 1
1332208198.714574 1332208199.375973 949 1
1332208198.715020 1332208199.376462 950 1
1332208198.715467 1332208199.377034 951 1
1332208198.715914 1332208199.377704 952 1
1332208198.716361 1332208199.378349 953 1
1332208198.716807 1332208199.378846 954 1
1332208198.717253 1332208199.379269 955 1
1332208198.717700 1332208199.379640 956 1
1332208198.718147 1332208199.379740 957 1
1332208198.718593 1332208199.380333 958 1
1332208198.719039 1332208199.380844 959 1
1332208198.719485 1332208199.381342 960 1
1332208198.719933 1332208199.381450 961 1
1332208198.720379 1332208199.382120 962 1
1332208198.720825 1332208199.382530 963 1
1332208198.721272 1332208199.383113 964 1
1332208198.721719 1332208199.383636 965 1
1332208198.722166 1332208199.383802 966 1
1332208198.722612 1332208199.384264 967 1
1332208198.723058 1332208199.384816 968 1
1332208198.723505 1332208199.385348 969 1
1332208198.723951 1332208199.385358 970 1
1332208198.724398 1332208199.385982 971 1
1332208198.724844 1332208199.386527 972 1
1332208198.725290 1332208199.387081 973 1
1332208198.725736 1332208199.387122 974 1
1332208198.726183 1332208199.387624 975 1
1332208198.726629 1332208199.388230 976 1
1332208198.727076 1332208199.388849 977 1
1332208198.727523 1332208199.389294 978 1
1332208198.727970 1332208199.389316 979 1
1332208198.728417 1332208199.390014 980 1
1332208198.728864 1332208199.390465 981 1
1332208198.729310 1332208199.390845 982 1
1332208198.729757 1332208199.391188 983 1
1332208198.730203 1332208199.391704 984 1
1332208198.730649 1332208199.392231 985 1
1332208198.731095 1332208199.392305 986 1
1332208198.731541 1332208199.392913 987 1
1332208198.731988 1332208199.393579 988 1
1332208198.732434 1332208199.394124 989 1
1332208198.732881 1332208199.394991 990 1
1332208198.733328 1332208199.395001 991 1
1332208198.733774 1332208199.395690 992 1
1332208198.734220 1332208199.395711 993 1
1332208198.734666 1332208199.396438 994 1
1332208198.735113 1332208199.396458 995 1
1332208198.735559 1332208199.397208 996 1
1332208198.736006 1332208199.397382 997 1
1332208198.736452 1332208199.397939 998 1
1332208198.736899 1332208199.398401 999 1
1332208198.737346 1332208199.398930 1000 1
1332208198.737793 1332208199.398963 1001 1
1332208198.738239 1332208199.399780 1002 1
1332208198.738685 1332208199.400241 1003 1
1332208198.739131 1332208199.400620 1004 1
1332208198.739578 1332208199.400630 1005 1
1332208198.740024 1332208199.401417 1006 1
1332208198.740470 1332208199.401904 1007 1
1332208198.740916 1332208199.402002 1008 1
1332208198.741362 1332208199.402725 1009 1
1332208198.741809 1332208199.403125 1010 1
1332208198.742256 1332208199.404736 1011 1
1332208198.742702 1332208199.404838 1012 1
1332208198.743148 1332208199.405380 1013 1
1332208198.743595 1332208199.405834 1014 1
1332208198.744041 1332208199.406343 1015 1
1332208198.744487 1332208199.406913 1016 1
1332208198.744934 1332208199.407116 1017 1
1332208198.745380 1332208199.407698 1018 1
1332208198.745826 1332208199.407792 1019 1
1332208198.746272 1332208199.408653 1020 1
1332208198.746718 1332208199.409262 1021 1
1332208198.747164 1332208199.410711 1022 1
1332208198.747610 1332208199.410906 1023 1
1332208198.748056 1332208199.411474 1024 1
1332208198.748503 1332208199.411734 1025 1
1332208198.748949 1332208199.412319 1026 1
1332208198.749396 1332208199.412476 1027 1
1332208198.749842 1332208199.413767 1028 1
1332208198.750289 1332208199.413973 1029 1
1332208198.750735 1332208199.413987 1030 1
1332208198.751181 1332208199.414600 1031 1
1332208198.751627 1332208199.414769 1032 1
1332208198.752073 1332208199.415316 1033 1
1332208198.752519 1332208199.415409 1034 1
1332208198.752965 1332208199.415963 1035 1
1332208198.753412 1332208199.416149 1036 1
1332208198.753858 1332208199.416751 1037 1
1332208198.754304 1332208199.417367 1038 1
1332208198.754751 1332208199.417574 1039 1
1332208198.755197 1332208199.418003 1040 1
1332208198.755644 1332208199.418451 1041 1
1332208198.756091 1332208199.418967 1042 1
1332208198.756537 1332208199.419290 1043 1
1332208198.756983 1332208199.419623 1044 1
1332208198.757430 1332208199.420123 1045 1
1332208198.757876 1332208199.420592 1046 1
1332208198.758323 1332208199.421070 1047 1
1332208198.758769 1332208199.421651 1048 1
1332208198.759215 1332208199.421914 1049 1
1332208198.759662 1332208199.422302 1050 1
1332208198.760109 1332208199.423112 1051 1
1332208198.760555 1332208199.423146 1052 1
1332208198.761001 1332208199.423676 1053 1
1332208198.761448 1332208199.424177 1054 1
1332208198.761894 1332208199.424742 1055 1
1332208198.762340 1332208199.424878 1056 1
1332208198.762787 1332208199.425450 1057 1
1332208198.763233 1332208199.426258 1058 1
1332208198.763679 1332208199.426613 1059 1
1332208198.764125 1332208199.426774 1060 1
1332208198.764572 1332208199.427224 1061 1
1332208198.765019 1332208199.427698 1062 1
1332208198.765465 1332208199.428121 1063 1
1332208198.765911 1332208199.428384 1064 1
1332208198.766357 1332208199.428853 1065 1
1332208198.766803 1332208199.429319 1066 1
1332208198.767249 1332208199.431890 1067 1
1332208198.767696 1332208199.431922 1068 1
1332208198.768142 1332208199.432557 1069 1
1332208198.768588 1332208199.432796 1070 1
1332208198.769035 1332208199.432969 1071 1
1332208198.769481 1332208199.432999 1072 1
1332208198.769928 1332208199.433229 1073 1
1332208198.770374 1332208199.433387 1074 1
1332208198.770821 1332208199.433897 1075 1
1332208198.771268 1332208199.434112 1076 1
1332208198.771714 1332208199.434352 1077 1
1332208198.772160 1332208199.438035 1078 1
1332208198.772607 1332208199.438049 1079 1
1332208198.773053 1332208199.438375 1080 1
1332208198.773500 1332208199.438411 1081 1
1332208198.773946 1332208199.438773 1082 1
1332208198.774393 1332208199.438854 1083 1
1332208198.774840 1332208199.439081 1084 1
1332208198.775286 1332208199.439217 1085 1
1332208198.775732 1332208199.439719 1086 1
1332208198.776178 1332208199.439906 1087 1
1332208198.776625 1332208199.440050 1088 1
1332208198.777071 1332208199.440257 1089 1
1332208198.777517 1332208199.447699 1090 1
1332208198.777963 1332208199.447736 1091 1
1332208198.778410 1332208199.448167 1092 1
1332208198.778857 1332208199.448430 1093 1
1332208198.779304 1332208199.448541 1094 1
1332208198.779751 1332208199.448732 1095 1
1332208198.780198 1332208199.449035 1096 1
1332208198.780645 1332208199.449079 1097 1
1332208198.781091 1332208199.449364 1098 1
1332208198.781538 1332208199.449469 1099 1
1332208198.781987 1332208199.449712 1100 1
1332208198.782433 1332208199.450195 1101 1
1332208198.782879 1332208199.450394 1102 1
1332208198.783326 1332208199.450545 1103 1
1332208198.783772 1332208199.450688 1104 1
1332208198.784218 1332208199.450875 1105 1
1332208198.784665 1332208199.451043 1106 1
1332208198.785112 1332208199.451259 1107 1
1332208198.785559 1332208199.451440 1108 1
1332208198.786005 1332208199.451899 1109 1
1332208198.786451 1332208199.452077 1110 1
1332208198.786897 1332208199.452260 1111 1
1332208198.787344 1332208199.452424 1112 1
1332208198.787790 1332208199.452611 1113 1
1332208198.788236 1332208199.452795 1114 1
1332208198.788682 1332208199.452979 1115 1
1332208198.789129 1332208199.453155 1116 1
1332208198.789575 1332208199.453678 1117 1
1332208198.790022 1332208199.453939 1118 1
1332208198.790469 1332208199.454040 1119 1
1332208198.790915 1332208199.454332 1120 1
1332208198.791362 1332208199.454424 1121 1
1332208198.791808 1332208199.454986 1122 1
1332208198.792254 1332208199.455231 1123 1
1332208198.792701 1332208199.455339 1124 1
1332208198.793147 1332208199.455989 1125 1
1332208198.793699 1332208199.456133 1126 1
1332208198.794146 1332208199.456713 1127 1
1332208198.794593 1332208199.456822 1128 1
1332208198.795039 1332208199.457330 1129 1
1332208198.795486 1332208199.457974 1130 1
1332208198.795932 1332208199.458147 1131 1
1332208198.796378 1332208199.458668 1132 1
1332208198.796825 1332208199.459094 1133 1
1332208198.797272 1332208199.459593 1134 1
1332208198.797718 1332208199.459770 1135 1
1332208198.798164 1332208199.460243 1136 1
1332208198.798610 1332208199.460804 1137 1
1332208198.799057 1332208199.461305 1138 1
1332208198.799503 1332208199.461476 1139 1
1332208198.799949 1332208199.461923 1140 1
1332208198.800395 1332208199.462473 1141 1
1332208198.800842 1332208199.463072 1142 1
1332208198.801288 1332208199.463311 1143 1
1332208198.801735 1332208199.463790 1144 1
1332208198.802181 1332208199.464358 1145 1
1332208198.802627 1332208199.465237 1146 1
1332208198.803074 1332208199.465863 1147 1
1332208198.803521 1332208199.465880 1148 1
1332208198.803968 1332208199.466260 1149 1
1332208198.804414 1332208199.466725 1150 1
1332208198.804861 1332208199.467296 1151 1
1332208198.805307 1332208199.467330 1152 1
1332208198.805754 1332208199.467834 1153 1
1332208198.806200 1332208199.468338 1154 1
1332208198.806646 1332208199.469899 1155 1
1332208198.807093 1332208199.469915 1156 1
1332208198.807540 1332208199.470618 1157 1
1332208198.807989 1332208199.470634 1158 1
1332208198.808435 1332208199.470951 1159 1
1332208198.808881 1332208199.471383 1160 1
1332208198.809327 1332208199.471437 1161 1
1332208198.809774 1332208199.472022 1162 1
1332208198.810220 1332208199.472138 1163 1
1332208198.810667 1332208199.472670 1164 1
1332208198.811114 1332208199.472859 1165 1
1332208198.811561 1332208199.473433 1166 1
1332208198.812007 1332208199.473883 1167 1
1332208198.812453 1332208199.474392 1168 1
1332208198.812899 1332208199.474567 1169 1
1332208198.813345 1332208199.475085 1170 1
1332208198.813791 1332208199.475534 1171 1
1332208198.814237 1332208199.475996 1172 1
1332208198.814683 1332208199.476466 1173 1
1332208198.815130 1332208199.476926 1174 1
1332208198.815576 1332208199.477375 1175 1
1332208198.816023 1332208199.477928 1176 1
1332208198.816469 1332208199.478165 1177 1
1332208198.816915 1332208199.478581 1178 1
1332208198.817361 1332208199.479048 1179 1
1332208198.817807 1332208199.479750 1180 1
1332208198.818254 1332208199.481173 1181 1
1332208198.818701 1332208199.481368 1182 1
1332208198.819148 1332208199.481870 1183 1
1332208198.819595 1332208199.482050 1184 1
1332208198.820041 1332208199.482186 1185 1
1332208198.820487 1332208199.482728 1186 1
1332208198.820933 1332208199.482864 1187 1
1332208198.821380 1332208199.483437 1188 1
1332208198.821827 1332208199.483717 1189 1
1332208198.822273 1332208199.484134 1190 1
1332208198.822719 1332208199.484340 1191 1
1332208198.823165 1332208199.484983 1192 1
1332208198.823612 1332208199.485103 1193 1
1332208198.824059 1332208199.485672 1194 1
1332208198.824505 1332208199.486136 1195 1
1332208198.824951 1332208199.486653 1196 1
1332208198.825398 1332208199.487091 1197 1
1332208198.825845 1332208199.488202 1198 1
1332208198.826291 1332208199.488750 1199 1
1332208198.826737 1332208199.489158 1200 1
1332208198.827183 1332208199.489183 1201 1
1332208198.827629 1332208199.489827 1202 1
1332208198.828075 1332208199.490280 1203 1
1332208198.828521 1332208199.490783 1204 1
1332208198.828967 1332208199.491307 1205 1
1332208198.829413 1332208199.491823 1206 1
1332208198.829859 1332208199.491943 1207 1
1332208198.830306 1332208199.492469 1208 1
1332208198.830752 1332208199.500646 1209 1
1332208198.831199 1332208199.500903 1210 1
1332208198.831645 1332208199.501045 1211 1
1332208198.832091 1332208199.501226 1212 1
1332208198.832538 1332208199.501406 1213 1
1332208198.832984 1332208199.501587 1214 1
1332208198.833430 1332208199.501771 1215 1
1332208198.833877 1332208199.501954 1216 1
1332208198.834323 1332208199.502136 1217 1
1332208198.834770 1332208199.502696 1218 1
1332208198.835216 1332208199.502910 1219 1
1332208198.835662 1332208199.503096 1220 1
1332208198.836109 1332208199.503290 1221 1
1332208198.836555 1332208199.503437 1222 1
1332208198.837001 1332208199.503613 1223 1
1332208198.837447 1332208199.503797 1224 1
1332208198.837894 1332208199.503979 1225 1
1332208198.838340 1332208199.504444 1226 1
1332208198.838787 1332208199.504613 1227 1
1332208198.839233 1332208199.504794 1228 1
1332208198.839679 1332208199.504988 1229 1
1332208198.840125 1332208199.505157 1230 1
1332208198.840571 1332208199.505342 1231 1
1332208198.841017 1332208199.505532 1232 1
1332208198.841463 1332208199.506050 1233 1
1332208198.841909 1332208199.506238 1234 1
1332208198.842356 1332208199.506417 1235 1
1332208198.842803 1332208199.506600 1236 1
1332208198.843249 1332208199.507046 1237 1
1332208198.843695 1332208199.507223 1238 1
1332208198.844141 1332208199.508038 1239 1
1332208198.844588 1332208199.508502 1240 1
1332208198.845034 1332208199.508698 1241 1
1332208198.845481 1332208199.509176 1242 1
1332208198.845927 1332208199.509712 1243 1
1332208198.846373 1332208199.510299 1244 1
1332208198.846819 1332208199.510477 1245 1
1332208198.847266 1332208199.511132 1246 1
1332208198.847712 1332208199.511618 1247 1
1332208198.848159 1332208199.512176 1248 1
1332208198.848605 1332208199.512349 1249 1
1332208198.849052 1332208199.513365 1250 1
1332208198.849498 1332208199.513915 1251 1
1332208198.849944 1332208199.514449 1252 1
1332208198.850390 1332208199.514972 1253 1
1332208198.850837 1332208199.515615 1254 1
1332208198.851283 1332208199.516113 1255 1
1332208198.851730 1332208199.516584 1256 1
1332208198.852176 1332208199.516996 1257 1
1332208198.852622 1332208199.517509 1258 1
1332208198.853068 1332208199.518023 1259 1
1332208198.853514 1332208199.518543 1260 1
1332208198.853960 1332208199.519106 1261 1
1332208198.854406 1332208199.519876 1262 1
1332208198.854852 1332208199.520052 1263 1
1332208198.855299 1332208199.520538 1264 1
1332208198.855745 1332208199.521079 1265 1
1332208198.856192 1332208199.521758 1266 1
1332208198.856639 1332208199.521931 1267 1
1332208198.857086 1332208199.522508 1268 1
1332208198.857532 1332208199.523083 1269 1
1332208198.857979 1332208199.524105 1270 1
1332208198.858425 1332208199.524333 1271 1
1332208198.858872 1332208199.524901 1272 1
1332208198.859319 1332208199.525081 1273 1
1332208198.859765 1332208199.525592 1274 1
1332208198.860212 1332208199.525763 1275 1
1332208198.860659 1332208199.526374 1276 1
1332208198.861106 1332208199.526877 1277 1
1332208198.861613 1332208199.527476 1278 1
1332208198.862058 1332208199.529718 1279 1
1332208198.862505 1332208199.530945 1280 1
1332208198.862951 1332208199.531123 1281 1
1332208198.863397 1332208199.531609 1282 1
1332208198.863843 1332208199.532110 1283 1
1332208198.864289 1332208199.532291 1284 1
1332208198.864735 1332208199.533824 1285 1
1332208198.865181 1332208199.533985 1286 1
1332208198.865627 1332208199.534184 1287 1
1332208198.866073 1332208199.534350 1288 1
1332208198.866520 1332208199.534796 1289 1
1332208198.866967 1332208199.534980 1290 1
1332208198.867413 1332208199.535893 1291 1
1332208198.867860 1332208199.536927 1292 1
1332208198.868306 1332208199.537104 1293 1
1332208198.868752 1332208199.537286 1294 1
1332208198.869198 1332208199.540835 1295 1
1332208198.869644 1332208199.540954 1296 1
1332208198.870091 1332208199.541133 1297 1
1332208198.870538 1332208199.541279 1298 1
1332208198.870985 1332208199.541451 1299 1
1332208198.871431 1332208199.541635 1300 1
1332208198.871877 1332208199.541818 1301 1
1332208198.872324 1332208199.542000 1302 1
1332208198.872770 1332208199.542484 1303 1
1332208198.873217 1332208199.542665 1304 1
1332208198.873663 1332208199.542851 1305 1
1332208198.874109 1332208199.543032 1306 1
1332208198.874555 1332208199.543209 1307 1
1332208198.875001 1332208199.543737 1308 1
1332208198.875448 1332208199.543960 1309 1
1332208198.875894 1332208199.544137 1310 1
1332208198.876340 1332208199.544564 1311 1
1332208198.876786 1332208199.545156 1312 1
1332208198.877232 1332208199.545341 1313 1
1332208198.877679 1332208199.545827 1314 1
1332208198.878125 1332208199.546366 1315 1
1332208198.878575 1332208199.546579 1316 1
1332208198.879021 1332208199.547140 1317 1
1332208198.879467 1332208199.547627 1318 1
1332208198.879913 1332208199.548087 1319 1
1332208198.880359 1332208199.548650 1320 1
1332208198.880806 1332208199.548827 1321 1
1332208198.881252 1332208199.549395 1322 1
1332208198.881699 1332208199.549562 1323 1
1332208198.882145 1332208199.550200 1324 1
1332208198.882592 1332208199.550403 1325 1
1332208198.883038 1332208199.550882 1326 1
1332208198.883485 1332208199.551484 1327 1
1332208198.883931 1332208199.551998 1328 1
1332208198.884377 1332208199.552164 1329 1
1332208198.884823 1332208199.553117 1330 1
1332208198.885269 1332208199.553874 1331 1
1332208198.885715 1332208199.553987 1332 1
1332208198.886161 1332208199.554160 1333 1
1332208198.886607 1332208199.554594 1334 1
1332208198.887054 1332208199.555045 1335 1
1332208198.887501 1332208199.555533 1336 1
1332208198.887947 1332208199.556041 1337 1
1332208198.888394 1332208199.556219 1338 1
1332208198.888840 1332208199.556726 1339 1
1332208198.889286 1332208199.557373 1340 1
1332208198.889733 1332208199.557562 1341 1
1332208198.890180 1332208199.558033 1342 1
1332208198.890626 1332208199.558560 1343 1
1332208198.891073 1332208199.558778 1344 1
1332208198.891519 1332208199.559238 1345 1
1332208198.891965 1332208199.559659 1346 1
1332208198.892412 1332208199.560265 1347 1
1332208198.892858 1332208199.560712 1348 1
1332208198.893305 1332208199.561260 1349 1
1332208198.893753 1332208199.561435 1350 1
1332208198.894199 1332208199.563104 1351 1
1332208198.894645 1332208199.563573 1352 1
1332208198.895091 1332208199.563686 1353 1
1332208198.895538 1332208199.563863 1354 1
1332208198.895985 1332208199.564059 1355 1
1332208198.896431 1332208199.564686 1356 1
1332208198.896877 1332208199.564869 1357 1
1332208198.897324 1332208199.565411 1358 1
1332208198.897771 1332208199.565636 1359 1
1332208198.898217 1332208199.566122 1360 1
1332208198.898663 1332208199.566322 1361 1
1332208198.899110 1332208199.566834 1362 1
1332208198.899556 1332208199.567383 1363 1
1332208198.900003 1332208199.567548 1364 1
1332208198.900449 1332208199.568057 1365 1
1332208198.900895 1332208199.568594 1366 1
1332208198.901341 1332208199.569671 1367 1
1332208198.901788 1332208199.569680 1368 1
1332208198.902234 1332208199.570326 1369 1
1332208198.902681 1332208199.570337 1370 1
1332208198.903127 1332208199.570897 1371 1
1332208198.903574 1332208199.571010 1372 1
1332208198.904021 1332208199.571637 1373 1
1332208198.904467 1332208199.572090 1374 1
1332208198.904913 1332208199.572592 1375 1
1332208198.905359 1332208199.572998 1376 1
1332208198.905805 1332208199.573177 1377 1
1332208198.906251 1332208199.573897 1378 1
1332208198.906698 1332208199.574391 1379 1
1332208198.907144 1332208199.574886 1380 1
1332208198.907590 1332208199.575353 1381 1
1332208198.908037 1332208199.575496 1382 1
1332208198.908483 1332208199.576040 1383 1
1332208198.908929 1332208199.576250 1384 1
1332208198.909376 1332208199.576792 1385 1
1332208198.909822 1332208199.577181 1386 1
1332208198.910268 1332208199.577747 1387 1
1332208198.910714 1332208199.578284 1388 1
1332208198.911160 1332208199.578449 1389 1
1332208198.911607 1332208199.579005 1390 1
1332208198.912054 1332208199.579480 1391 1
1332208198.912501 1332208199.580021 1392 1
1332208198.912947 1332208199.580584 1393 1
1332208198.913393 1332208199.580692 1394 1
1332208198.913840 1332208199.581179 1395 1
1332208198.914287 1332208199.581790 1396 1
1332208198.914734 1332208199.582341 1397 1
1332208198.915180 1332208199.582817 1398 1
1332208198.915626 1332208199.583305 1399 1
1332208198.916073 1332208199.583445 1400 1
1332208198.916519 1332208199.584019 1401 1
1332208198.916966 1332208199.584663 1402 1
1332208198.917413 1332208199.584693 1403 1
1332208198.917860 1332208199.585338 1404 1
1332208198.918306 1332208199.585980 1405 1
1332208198.918752 1332208199.586412 1406 1
1332208198.919199 1332208199.586850 1407 1
1332208198.919645 1332208199.587302 1408 1
1332208198.920091 1332208199.587821 1409 1
1332208198.920538 1332208199.588481 1410 1
1332208198.920985 1332208199.589084 1411 1
1332208198.921431 1332208199.589130 1412 1
1332208198.921878 1332208199.589737 1413 1
1332208198.922324 1332208199.589747 1414 1
1332208198.922770 1332208199.590507 1415 1
1332208198.923217 1332208199.590517 1416 1
1332208198.923663 1332208199.591259 1417 1
1332208198.924109 1332208199.591860 1418 1
1332208198.924555 1332208199.592073 1419 1
1332208198.925001 1332208199.592330 1420 1
1332208198.925447 1332208199.592757 1421 1
